N;Game;Watch time (mins);Stream time (mins);Peak viewers;Peak channels;Streamers;Average viewers;Average channels;Average viewer ratio;anyo
1;League of Legends;3850629060;120157500;243349;640;111625;7326;228;32.05;2019
2;Fortnite;2874751020;162652920;424085;1741;173232;5470;309;17.67;2019
4;Grand Theft Auto V;1421199060;22410240;29888;137;33729;2704;42;63.42;2019
5;Minecraft;1295850300;32015580;126591;245;67911;2465;60;40.48;2019
6;Teamfight Tactics;641970300;12463620;61974;288;25737;1221;23;51.51;2019
7;Counter-Strike: Global Offensive;636071220;32526720;40568;181;56604;1210;61;19.56;2019
8;World of Warcraft;476116560;17810700;63259;479;13937;905;33;26.73;2019
9;Apex Legends;429890220;34824540;54481;806;65794;817;66;12.34;2019
10;FIFA 20;312411600;5029500;33940;126;9408;594;9;62.12;2019
11;PUBG: BATTLEGROUNDS;300183180;18541800;26739;129;26481;571;35;16.19;2019
12;FIFA 19;248311920;6516360;80241;98;15497;472;12;38.11;2019
13;Dota 2;245945220;9236340;24348;59;8326;467;17;26.63;2019
14;Tom Clancy's Rainbow Six Siege;211088940;15595860;12654;97;25302;401;29;13.53;2019
15;Hearthstone;209470020;3208860;6567;81;6017;398;6;65.28;2019
16;Dead by Daylight;193865100;12097860;6084;110;14223;368;23;16.02;2019
18;Overwatch;156801540;15098880;8502;116;25316;298;28;10.38;2019
20;Pokémon Sword/Shield;133763820;2163660;32418;248;2328;254;4;61.82;2019
21;Call of Duty: Warzone;104877540;5792940;24632;248;14671;199;11;18.1;2019
22;Rust;88436160;3921480;18595;50;4142;168;7;22.55;2019
23;Poker;87197400;1091160;15613;14;1219;165;2;79.91;2019
24;Resident Evil 2;81826140;3260760;36883;272;10904;155;6;25.09;2019
25;Call of Duty: Black Ops 4;80137920;9484080;9284;64;16068;152;18;8.45;2019
26;Atlas;77556060;928980;13091;34;1158;147;1;83.49;2019
27;Magic: The Gathering;77430600;2192940;7889;38;2810;147;4;35.31;2019
28;Black Desert;77190060;4216440;3018;27;4041;146;8;18.31;2019
29;StarCraft II;76731480;1570320;6400;14;1722;146;2;48.86;2019
31;iRacing;75038580;2157480;3846;62;1381;142;4;34.78;2019
32;Tibia;72507600;4398300;2082;33;2340;137;8;16.49;2019
33;SMITE;71393100;4516260;4179;28;6228;135;8;15.81;2019
34;Rocket League;69924420;8316000;25646;58;20656;133;15;8.41;2019
35;Sea of Thieves;68872440;2716860;22783;61;5516;131;5;25.35;2019
36;Death Stranding;64115040;877320;36137;111;1519;121;1;73.08;2019
37;Legends of Runeterra;62678220;687180;29658;179;2802;119;1;91.21;2019
38;Garena Free Fire;58144440;4414620;12553;43;6800;110;8;13.17;2019
39;Chess;58092480;245340;3555;6;601;110;0;236.78;2019
40;Marbles on Stream;57940680;1276080;29993;15;2621;110;2;45.41;2019
41;Sekiro: Shadows Die Twice;56429040;2495520;14140;198;6676;107;4;22.61;2019
42;PUBG Mobile;49258800;4518600;8719;40;9007;93;8;10.9;2019
43;Gears of War 4;37737600;3754140;1420;54;6685;71;7;10.05;2019
45;Warframe;36548940;3603420;3182;27;5284;69;6;10.14;2019
46;Paladins;35047320;4410840;12684;36;10756;66;8;7.95;2019
47;Dragon Ball FighterZ;34971420;1257180;5827;17;3932;66;2;27.82;2019
49;Gears 5;31119480;3020880;7742;469;7384;59;5;10.3;2019
50;Red Dead Redemption 2;30195960;2342700;12613;86;5872;57;4;12.89;2019
2;Fortnite;10137312960;291161820;562457;7737;436773;19236;552;34.82;2020
3;Grand Theft Auto V;9177320100;63851400;286344;452;130038;17414;121;143.73;2020
4;League of Legends;7549708860;201876120;290829;1374;209150;14326;383;37.4;2020
5;Minecraft;6839062800;104440740;433396;572;222728;12977;198;65.48;2020
6;Among Us;4630182000;42053040;407302;2498;164659;8786;79;110.1;2020
7;VALORANT;3205612140;108658320;344282;2486;163661;6082;206;29.5;2020
8;Counter-Strike: Global Offensive;2283684060;62479620;112098;380;123487;4333;118;36.55;2020
9;Call of Duty: Warzone;2159810220;92154420;119819;1181;194046;4098;174;23.44;2020
10;Fall Guys;1894328520;26510040;256249;1074;100500;3594;50;71.46;2020
11;FIFA 20;1258587780;20532300;179816;345;54716;2388;38;61.3;2020
