N;Logo;Channel;Watch time (mins);Stream time (mins);Peak viewers;Average viewers;Followers;Partnered;Mature;Language;mes;anyo
1;https://static-cdn.jtvnw.net/jtv_user_pictures/aac9d1e5-725e-438c-9cf3-ac75ba1a8991-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;RealMadrid;180660;75;3780;2409;32665;true;false;Spanish;7;2020
2;https://static-cdn.jtvnw.net/jtv_user_pictures/46a15e83-6ada-4dc9-a4c4-3f5d7affc5bd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;TaronjaGames;104640;1185;260;88;162;false;false;Spanish;7;2020
3;https://static-cdn.jtvnw.net/jtv_user_pictures/cef87e16-c8e6-4c5e-ad1d-8de043257dce-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;internetv;79590;1110;151;72;2687;true;false;Spanish;7;2020
4;https://static-cdn.jtvnw.net/jtv_user_pictures/07fbc74c-cc9f-4665-a891-b4f2320c9191-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;shelao;19215;60;384;320;53398;true;false;Spanish;7;2020
5;https://static-cdn.jtvnw.net/jtv_user_pictures/f36419dd-389b-4c08-b11d-9b862515bcc3-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100;internetvbeisbol;13965;210;96;67;417;true;false;Spanish;7;2020
6;https://static-cdn.jtvnw.net/jtv_user_pictures/43104eca-7a4f-4629-bbef-f054c9011911-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;drift_the_page;10785;570;38;19;71;false;false;Spanish;7;2020
7;https://static-cdn.jtvnw.net/jtv_user_pictures/0d2c2b1e-5c0a-42a4-b147-5550a8625224-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100;MexicoBadHombres;9195;465;43;20;560;false;true;Spanish;7;2020
8;https://static-cdn.jtvnw.net/jtv_user_pictures/26792668-f0af-4bdf-8236-a13c8678ce72-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Leonishiki;9180;1080;18;9;129;false;false;Spanish;7;2020
9;https://static-cdn.jtvnw.net/jtv_user_pictures/34dce9ee-1cee-422c-97ec-6ed2b146e823-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;rexgamster;7050;15;470;470;91;false;false;Spanish;7;2020
10;https://static-cdn.jtvnw.net/jtv_user_pictures/9ac5a161-89dc-4c3e-b5f1-6b9643c651b9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;lafiebreamarillalakers;5220;150;52;35;800;false;false;Spanish;7;2020
11;https://static-cdn.jtvnw.net/jtv_user_pictures/a93ebe2e-b370-47b2-83bc-669639aca6a9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Balong;5010;180;38;28;2577;false;false;Spanish;7;2020
12;https://static-cdn.jtvnw.net/jtv_user_pictures/62b7a849-4ef6-444b-ad16-94c4bb808a79-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;diegolazo4;4455;315;54;14;67;false;false;Spanish;7;2020
13;https://static-cdn.jtvnw.net/jtv_user_pictures/6321568c-6be5-46c0-a6e2-ee81a65a0a62-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;miquelserrano;2850;45;87;63;7588;true;true;Spanish;7;2020
14;https://static-cdn.jtvnw.net/jtv_user_pictures/8bc5a933-2d10-49c3-8fd7-85975ac6bc30-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;PlanetaNBA;2250;135;30;17;465;true;false;Spanish;7;2020
15;https://static-cdn.jtvnw.net/jtv_user_pictures/ea6ca6e6-79df-4298-8f9c-42bd12eab751-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Eduyuguero;2025;255;17;8;74;false;false;Spanish;7;2020
16;https://static-cdn.jtvnw.net/jtv_user_pictures/168474ee-3448-4ff4-8e72-1c3c83a20290-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ALVfut;1995;150;20;13;11;false;false;Spanish;7;2020
17;https://static-cdn.jtvnw.net/jtv_user_pictures/5be276bd-723d-46c2-8b9d-098f275d613d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;TurnHeelWrestling;1860;210;11;9;124;false;false;Spanish;7;2020
18;https://static-cdn.jtvnw.net/jtv_user_pictures/gamegune-profile_image-576facd854acf42b-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100;GameGune;1155;30;51;39;3706;true;false;Spanish;7;2020
19;https://static-cdn.jtvnw.net/jtv_user_pictures/058ea4a3-2a37-402b-acb7-4f7ba3649774-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;SportsFireYt;840;150;11;6;45;false;false;Spanish;7;2020
20;https://static-cdn.jtvnw.net/jtv_user_pictures/aea0346d-0f02-4b38-a762-2f1d698d3302-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;donjavierignacio;750;165;7;5;170;false;true;Spanish;7;2020
21;https://static-cdn.jtvnw.net/user-default-pictures-uv/75305d54-c7cc-40d1-bb9c-91fbe85943c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;rockdrigo1;735;120;9;6;17;false;false;Spanish;7;2020
22;https://static-cdn.jtvnw.net/jtv_user_pictures/cb5e4803-a50d-4f5b-ac72-e52ee1820a15-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;dicobeck;555;225;4;2;10;false;true;Spanish;7;2020
23;https://static-cdn.jtvnw.net/jtv_user_pictures/58946956ca7a5c19-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;diderottonba;450;60;8;8;39;false;false;Spanish;7;2020
24;https://static-cdn.jtvnw.net/jtv_user_pictures/e84579fb-36eb-4b31-a2ab-08fa6bc5958c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;YuztonID;360;15;24;24;101;false;false;Spanish;7;2020
25;https://static-cdn.jtvnw.net/jtv_user_pictures/15d63b85-a622-4268-a207-7c3fee819733-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;rxbxn;315;150;5;2;70;false;false;Spanish;7;2020
26;https://static-cdn.jtvnw.net/jtv_user_pictures/76ad1904-31ee-44a9-9036-a262cbe5e898-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;yosoybivi;300;135;4;2;87;false;true;Spanish;7;2020
27;https://static-cdn.jtvnw.net/jtv_user_pictures/b058a3fa-4912-458a-8a88-10c10b2d682d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;upbcolombia;285;45;7;6;179;false;false;Spanish;7;2020
28;https://static-cdn.jtvnw.net/jtv_user_pictures/3e6665d3-8039-4494-9d3c-0af27b427244-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;davidr_1717;240;90;4;3;25;false;false;Spanish;7;2020
29;https://static-cdn.jtvnw.net/jtv_user_pictures/28c443fd-171d-4ccc-86d7-e3dab9ab10b1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;xyeyo10;225;15;15;15;243;false;false;Spanish;7;2020
30;https://static-cdn.jtvnw.net/jtv_user_pictures/36214c6d-499a-473d-af40-9440595610a8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;andresy18;210;120;2;2;5;false;true;Spanish;7;2020
31;https://static-cdn.jtvnw.net/jtv_user_pictures/63493481-246a-48e7-9883-bf16443afd2a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;DiegoBustabad;195;75;3;3;77;false;false;Spanish;7;2020
32;https://static-cdn.jtvnw.net/jtv_user_pictures/e21da557-121e-46e4-baaa-0aac7e983188-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100;internetvbaloncesto;165;150;2;1;210;true;false;Spanish;7;2020
33;https://static-cdn.jtvnw.net/jtv_user_pictures/e1da26ec-ab1b-4cb3-b9e6-3512cb454942-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;MrFaiz17;150;30;5;5;45;false;false;Spanish;7;2020
34;https://static-cdn.jtvnw.net/jtv_user_pictures/2437a7b4-8aa8-4ebb-a1eb-b721964e2784-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ElManganga;150;30;5;5;1072;false;false;Spanish;7;2020
35;https://static-cdn.jtvnw.net/jtv_user_pictures/174b917a-170c-481f-90ea-6f3fdd009717-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;laprofekido;120;45;4;3;509;false;false;Spanish;7;2020
36;https://static-cdn.jtvnw.net/jtv_user_pictures/e1acf36b-7094-450d-af38-e03443d3049a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;alejandrofc_mx;120;60;3;2;27;false;false;Spanish;7;2020
37;https://static-cdn.jtvnw.net/jtv_user_pictures/54006bb2-d91f-4460-8c57-8015c4233daf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;alexisxz;105;60;2;2;18;false;false;Spanish;7;2020
38;https://static-cdn.jtvnw.net/jtv_user_pictures/49da7594-58db-4079-ae32-18dc5b681031-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;xampagnepap1;90;15;6;6;5;false;false;Spanish;7;2020
39;https://static-cdn.jtvnw.net/jtv_user_pictures/9c1b0d53-dc03-4ec5-962f-5d77543d8248-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;lmpak;75;45;3;2;309;false;false;Spanish;7;2020
40;https://static-cdn.jtvnw.net/jtv_user_pictures/f6ed232a-9ae8-478f-85e2-8d12c0a88049-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;fantasmin_22;60;45;2;1;42;false;false;Spanish;7;2020
41;https://static-cdn.jtvnw.net/jtv_user_pictures/e32b4d5c-0732-4c6d-99d8-ce042f34b491-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100;internetvboxeo;60;30;2;2;48;true;false;Spanish;7;2020
42;https://static-cdn.jtvnw.net/jtv_user_pictures/69820267-eb06-4776-8c7f-8cfe5f1a08fa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Matyasdarre;60;45;2;1;4;false;false;Spanish;7;2020
43;https://static-cdn.jtvnw.net/jtv_user_pictures/cc6f91e4-7c5f-40ed-b6d3-e68fe50048dd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Mr_Xavi_;45;30;2;2;54;false;false;Spanish;7;2020
44;https://static-cdn.jtvnw.net/jtv_user_pictures/fcd8fe80-0c24-48f2-85ca-1428067bf0e3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;TitoGuilleTv;45;30;2;2;15;false;false;Spanish;7;2020
45;https://static-cdn.jtvnw.net/jtv_user_pictures/b446190c-b126-4300-88f4-e6812428556f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;lxrvn;45;15;3;3;164;false;true;Spanish;7;2020
46;https://static-cdn.jtvnw.net/jtv_user_pictures/08464cde-3133-4b42-a6bc-92058493468c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;GambetaLP;30;15;2;2;2;false;false;Spanish;7;2020
47;https://static-cdn.jtvnw.net/jtv_user_pictures/85ffc143-b76f-4a7c-9564-1bbf77bb3755-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;teampremium_samuel;30;15;2;2;7;false;false;Spanish;7;2020
48;https://static-cdn.jtvnw.net/jtv_user_pictures/bb8c4d0c-cee8-407c-94db-4c49686d2197-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;elperalta21;30;15;2;2;155;false;false;Spanish;7;2020
49;https://static-cdn.jtvnw.net/user-default-pictures-uv/dbdc9198-def8-11e9-8681-784f43822e80-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;pu19prr;15;15;1;1;6;false;false;Spanish;7;2020
50;https://static-cdn.jtvnw.net/jtv_user_pictures/57781d80-1e92-484a-9778-8b3033f66321-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;hugooo_123;15;15;1;1;1;false;false;Spanish;7;2020
51;https://static-cdn.jtvnw.net/jtv_user_pictures/9b1276e0-d9d8-4df6-9af3-80272fd111c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;gatillofacil88;15;15;1;1;20;false;true;Spanish;7;2020
52;https://static-cdn.jtvnw.net/jtv_user_pictures/610f9b26-7a82-435e-be41-a27559a18588-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100;teopaez7;15;15;1;1;1;false;false;Spanish;7;2020
