n;id;titulo;canal;enlace;fecha;anyo;mes;posicion;cat;deporte
1;sPFII3ozSHI;EVE Online - Official Gameplay Trailer - Play Free!;EVE Online;https://www.youtube.com/watch?v=sPFII3ozSHI;2019-01-30T16:13:16Z;2019;1;1;20;EVE Online
2;NMwPLdQwDdc;¡EL MAPA DE MINECRAFT MÁS GRANDE DEL MUNDO! ?? [RÉCORD MUNDIAL] | CTM GIGANTE PARTE 1;Mikecrack;https://www.youtube.com/watch?v=NMwPLdQwDdc;2019-01-05T06:55:09Z;2019;1;2;20;Minecraft
3;M--UisdwRWA;¡NO ABRAS EL LUCKY BLOCK MÁS GRANDE DEL MUNDO! ?? CARRERA DE LUCKY BLOCKS;Mikecrack;https://www.youtube.com/watch?v=M--UisdwRWA;2019-01-18T05:58:46Z;2019;1;3;20;Minecraft
4;DKH-KyaDN_E;!LA RULETA DE LAS TRAMPAS EN MINECRAFT! ????;ElTrollino;https://www.youtube.com/watch?v=DKH-KyaDN_E;2019-01-26T20:00:01Z;2019;1;4;20;Minecraft
5;Qy7sCJoD4sI;NEW $1,450,000 LASER CANNON TEST! (1 Laser vs. 100 People);Jelly;https://www.youtube.com/watch?v=Qy7sCJoD4sI;2019-01-11T16:00:02Z;2019;1;5;20;GTA 5
6;b1leQ7UbvHQ;*NEW* $1,500,000 RC CAR! (GTA 5 DLC);Jelly;https://www.youtube.com/watch?v=b1leQ7UbvHQ;2019-01-30T17:08:37Z;2019;1;6;20;GTA 5
7;o4kVnlK01WE;LA MUERTE MÁS ÉPICA POR COCHE EN FREE FIRE ?? SORTEO 100.000 DIAMANTITOS EN FREE FIRE MIKECRACK;invictor;https://www.youtube.com/watch?v=o4kVnlK01WE;2019-01-10T02:45:35Z;2019;1;7;20;Free Fire
8;wr4X4W5oejY;NOOB JUEGA GTA 5 A LAS 3:00 AM... ?? (Pepito el Crack);E-MasterSensei;https://www.youtube.com/watch?v=wr4X4W5oejY;2019-01-03T21:30:02Z;2019;1;8;20;GTA 5
9;KgbsspT0iJ8;Clash-A-Rama: Archer Departure (Season Finale) Clash of Clans;Clash of Clans;https://www.youtube.com/watch?v=KgbsspT0iJ8;2019-01-18T13:00:07Z;2019;1;9;20;Clash of Clans
10;EWuaZsiLUxc;Playing GTA 5 For 24 Hours Without BREAKING LAWS!;Jelly;https://www.youtube.com/watch?v=EWuaZsiLUxc;2019-01-12T21:00:01Z;2019;1;10;20;GTA 5
11;sBUtAO37eH4;The Danger House | Ep. 15 | Minecraft One Life 2.0;LDShadowLady;https://www.youtube.com/watch?v=sBUtAO37eH4;2019-01-23T19:00:07Z;2019;1;11;20;Minecraft
12;hgX46aXE1GU;!SOLO EL 1% SOBREVIVE EN LOS BLOQUES GIGANTES DE MINECRAFT! ?? CTM GIGANTE PARTE 2;ElTrollino;https://www.youtube.com/watch?v=hgX46aXE1GU;2019-01-11T20:00:03Z;2019;1;12;20;Minecraft
13;2avPenB6spQ;¡NO ELIJAS LA LLAMA INCORRECTA! ???? 50.000 LLAMAS EN FORTNITE | MIKECRACK FORTNITE #5;Mikecrack;https://www.youtube.com/watch?v=2avPenB6spQ;2019-01-13T05:56:49Z;2019;1;13;20;Fortnite
14;_PsbuyQcibs;¡NO TOQUES EL RAYO LÁSER MORTAL! ???? #DIBUJAUNMIKE ?? MIKECRACK MINI WORLD #3;Mikecrack;https://www.youtube.com/watch?v=_PsbuyQcibs;2019-01-28T19:58:44Z;2019;1;14;20;Mini World
15;#¿NOMBRE?;El día que tuve mucha suerte en Fortnite :);TheGrefg;https://www.youtube.com/watch?v=-Z3-i_w1i8c;2019-01-05T21:28:45Z;2019;1;15;20;Fortnite
16;PmqdsidKBkU;¡SI TE RÍES PIERDES NIVEL STICK FIGHT! ???? MIKECRACK STICK FIGHT #1;Mikecrack;https://www.youtube.com/watch?v=PmqdsidKBkU;2019-02-28T05:09:24Z;2019;2;1;20;Stick Fight
17;tIIfDxOi9Pg;¡NOS ESTRELLAMOS EN EL BOSQUE MÁS PELIGROSO! ???? *NUEVA SERIE* THE FOREST MIKELEX #1;Mikecrack;https://www.youtube.com/watch?v=tIIfDxOi9Pg;2019-02-25T06:13:19Z;2019;2;2;20;The Forest
18;JsoiQYiYPl4;DESAFÍO CON LUCKY BLOCKS DE HORA DE MIKELLINO!! ?? MINECRAFT MODS;ElTrollino;https://www.youtube.com/watch?v=JsoiQYiYPl4;2019-02-22T23:40:35Z;2019;2;3;20;Minecraft
19;qTVj3xUTAQI;Angry Birds Match | Lunar New Year;Angry Birds;https://www.youtube.com/watch?v=qTVj3xUTAQI;2019-02-04T16:00:04Z;2019;2;4;20;Angry Birds
20;nw8Lm2wzxYw;¡NO SE PUEDE SER MÁS TRAMPOSO! ???? MOMENTOS DIVERTIDOS EN PINTURILLO  2 #7;Mikecrack;https://www.youtube.com/watch?v=nw8Lm2wzxYw;2019-02-23T05:46:10Z;2019;2;5;20;Pinturillo 2
21;YjxWZTa_zDQ;¡CAEMOS POR LA CAIDA INFINITA CON MI NUEVA SKIN! ???? DROPPER EN MINI WORLD #4 | #DIBUJAUNMIKE;Mikecrack;https://www.youtube.com/watch?v=YjxWZTa_zDQ;2019-02-17T03:25:05Z;2019;2;6;20;Mini World
22;bLH4nz2tBSI;¡PASAMOS DE BASE NOOB A BASE PRO! ?? ?? ¡NADIE SOBREVIVE AL APOCALIPSIS NUCLEAR!;Mikecrack;https://www.youtube.com/watch?v=bLH4nz2tBSI;2019-02-14T06:30:28Z;2019;2;7;20;Minecraft
23;qLDbY1s2Yik;NOOB VS PRO -  ¡MIKE Y TROLLINO EN SU PRIMERA CLASIFICATORIA! ???? MIKECRACK FREE FIRE #3;Mikecrack;https://www.youtube.com/watch?v=qLDbY1s2Yik;2019-02-10T05:09:03Z;2019;2;8;20;Free Fire
24;pzEtH-SqVvY;SUPER CAR vs. LASERS Is A Bad IDEA! (GTA 5 Races);Jelly;https://www.youtube.com/watch?v=pzEtH-SqVvY;2019-02-17T19:47:48Z;2019;2;9;20;GTA 5
25;FqiG7ouu1No;¡LA HIJA DE GRANNY QUIERE MATARNOS! ???? ¡DÉJAME ESCAPAR DE AQUÍ! ?? | ??DIRECTO MIKECRACK PACIFY #1;Mikecrack;https://www.youtube.com/watch?v=FqiG7ouu1No;2019-03-03T00:59:14Z;2019;2;10;20;Pacify
26;C1jm5bhjan4;¡EL DIA QUE MIKECRACK LO PERDIÓ TODO! ???? ¡Y SE FUE DE YOUTUBE!  CON MIKECRACK Y FLEXVEGA AGAPITO;Agapito Pequeño;https://www.youtube.com/watch?v=C1jm5bhjan4;2019-02-19T19:27:16Z;2019;2;11;20;Minecraft
27;i3dnTaVgUfw;TROLLINO PIDE MATRIMONIO A MIKECRACK!! ???? SAN VALENTIN EN MINECRAFT BUILD BATTLE;ElTrollino;https://www.youtube.com/watch?v=i3dnTaVgUfw;2019-02-14T22:39:56Z;2019;2;12;20;Minecraft
28;mfuk8s9zWAs;Playing PROP HUNT In FORTNITE! (Hide And Seek);Jelly;https://www.youtube.com/watch?v=mfuk8s9zWAs;2019-02-05T19:44:41Z;2019;2;13;20;Fortnite
29;jG838SG3v6s;LOS COMPAS EN SKYBLOCK!! ?? MOMENTOS DIVERTIDOS STICK FIGHT | ELTROLLINO;ElTrollino;https://www.youtube.com/watch?v=jG838SG3v6s;2019-02-28T23:20:15Z;2019;2;14;20;Stick Fight
30;EZ3_YAQQpww;GTA 5 VS VIDA REAL!! #2 GRAND THEFT AUTO V EN LA VIDA REAL;E-MasterSensei;https://www.youtube.com/watch?v=EZ3_YAQQpww;2019-02-07T20:00:00Z;2019;2;15;20;GTA 5
31;PAAdKua4UZQ;¡ESCAPA DE LA INUNDACIÓN! ???? LOS COMPAS MUEREN AHOGADOS EN EL PIPI DE MIKECRACK;Mikecrack;https://www.youtube.com/watch?v=PAAdKua4UZQ;2019-03-19T05:53:52Z;2019;3;1;20;Minecraft
32;A8cSYSGcczI;ME ESCONDO EN LA CIUDAD SECRETA DE DIAMANTITO ???? ESCONDITE CON LOS COMPAS EN MINECRAFT;invictor;https://www.youtube.com/watch?v=A8cSYSGcczI;2019-03-24T01:09:09Z;2019;3;2;20;Minecraft
33;UP_1QgLuYI4;ARMA NOOB Vs ARMA PRO ???? PISTOLA DE 1$ Vs AMETRALLADORA DE 10.000$ | MINECRAFT MODS;ElTrollino;https://www.youtube.com/watch?v=UP_1QgLuYI4;2019-03-20T23:26:29Z;2019;3;3;20;Minecraft
34;Z178aMc4AVg;Minecraft: NOOB vs PRO vs HACKER vs DIOS ?? DESAFÍO ÉPICO de LUCKY BLOCKS en Minecraft!;ElTrollino;https://www.youtube.com/watch?v=Z178aMc4AVg;2019-03-28T00:03:20Z;2019;3;4;20;Minecraft
35;31CNxbaHwEU;¡NINGÚN NOOB PUEDE PASAR ESTA CARRERA DE TRAMPAS EN MINECRAFT! ???? MINECRAFT DEATH RUN #8;Mikecrack;https://www.youtube.com/watch?v=31CNxbaHwEU;2019-03-14T03:24:07Z;2019;3;5;20;Minecraft
36;JOtKAg4XpoM;¿PUEDES SOBREVIVIR AL SKYBLOCK DE LUCKY BLOCKS? ?? MINECRAFT MODS;ElTrollino;https://www.youtube.com/watch?v=JOtKAg4XpoM;2019-03-06T22:41:54Z;2019;3;6;20;Minecraft
37;RrSz8gyEEn4;JUEGO CON UNA SQUAD RANDOM ESTANDO EN HEROICO Y MIRA LO QUE PASO *epico* | TheDonato;TheDonato;https://www.youtube.com/watch?v=RrSz8gyEEn4;2019-03-08T00:39:36Z;2019;3;7;20;Free Fire
38;FqiG7ouu1No;¡LA HIJA DE GRANNY QUIERE MATARNOS! ???? ¡DÉJAME ESCAPAR DE AQUÍ! ?? | ??DIRECTO MIKECRACK PACIFY #1;Mikecrack;https://www.youtube.com/watch?v=FqiG7ouu1No;2019-03-03T00:59:14Z;2019;3;8;20;Pacify
39;eCWO6gCXgiM;LO TENÍA DETRÁS Y NO SE DIO CUENTA... ???? MIKECRACK FREE FIRE #4;Mikecrack;https://www.youtube.com/watch?v=eCWO6gCXgiM;2019-03-08T17:33:24Z;2019;3;9;20;Free Fire
40;tNLoNr12-zQ;450MPH TIGHTROPE WALLRIDE COLLISION! (GTA 5 Funny Moments);Jelly;https://www.youtube.com/watch?v=tNLoNr12-zQ;2019-03-30T19:28:02Z;2019;3;10;20;GTA 5
41;5FiJpUlmw6M;¡NOS CONVERTIMOS EN CANÍBALES! ???? THE FOREST MIKELEX #7;Mikecrack;https://www.youtube.com/watch?v=5FiJpUlmw6M;2019-03-28T02:49:23Z;2019;3;11;20;The Forest
