n;id;titulo;canal;enlace;fecha;anyo;mes;posicion;cat;deporte
1;NncmQk5a9Dg;ADELGAZAR RÁPIDO | Cardio para perder peso;gymvirtual;https://www.youtube.com/watch?v=NncmQk5a9Dg;2019-01-28T17:00:04Z;2019;1;1;17;Fitness
2;KLIa2UaE2KE;"Italy vs Brazil – Men&#39;s Volleyball Gold Medal Match at Rio 2016 | Throwback Thursday";Olympics;https://www.youtube.com/watch?v=KLIa2UaE2KE;2019-01-10T13:01:12Z;2019;1;2;17;Voleibol
3;bGWo1KECm3E;La Leyenda de PELÉ, Así jugaba el Rey del Fútbol 🤴🏿 🇧🇷 (1940-2022) DEP;Memorias del Fútbol;https://www.youtube.com/watch?v=bGWo1KECm3E;2019-01-23T17:58:45Z;2019;1;3;17;Fútbol
4;VYSTaVBpwPg;Top 10 Moments of Schumacher Brilliance;FORMULA 1;https://www.youtube.com/watch?v=VYSTaVBpwPg;2019-01-04T13:19:12Z;2019;1;4;17;Automovilismo
5;pJGNEapGmqo;Adelgazar brazos y espalda rapidamente | Eliminar grasa de las axilas;gymvirtual;https://www.youtube.com/watch?v=pJGNEapGmqo;2019-01-21T17:00:05Z;2019;1;5;17;Fitness
6;wAYF_4OSiAs;Rutina Para Tonificar Todo El Cuerpo Y Quemar Grasa 🔥;Sientete Joven;https://www.youtube.com/watch?v=wAYF_4OSiAs;2019-01-27T18:45:01Z;2019;1;6;17;Fitness
7;SRanmNL7UOU;FINAL Media Gol Cup (Alevín): FC Barcelona - Real Madrid (2-2, 5-4);FC Barcelona;https://www.youtube.com/watch?v=SRanmNL7UOU;2019-01-01T16:17:43Z;2019;1;7;17;Fútbol
8;VDV2qe7uUMo;"Scottie Pippen reacts to LeBron calling himself GOAT: &#39;You can&#39;t say you&#39;re the greatest&#39; | The Jump";ESPN;https://www.youtube.com/watch?v=VDV2qe7uUMo;2019-01-04T22:30:01Z;2019;1;8;17;Baloncesto
9;Q2TTLUxlNu4;Reto 100 sentadillas | Piernas y glúteos tonificados;gymvirtual;https://www.youtube.com/watch?v=Q2TTLUxlNu4;2019-01-02T17:00:01Z;2019;1;9;17;Fitness
10;EGSbzzJeEgg;Reto 200 sentadillas para tonificar las piernas y glúteos;gymvirtual;https://www.youtube.com/watch?v=EGSbzzJeEgg;2019-01-10T16:58:12Z;2019;1;10;17;Fitness
11;X0VhRGH6XQc;Rutina Cardio Todo el Cuerpo 50 minutos Quema Grasa Cardio Full Body para principiantes;Sientete Joven;https://www.youtube.com/watch?v=X0VhRGH6XQc;2019-01-13T18:45:01Z;2019;1;11;17;Fitness
12;keMxEgwBxtE;CARDIO BAJO IMPACTO PARA ADELGAZAR | Ejercicios sin saltos;gymvirtual;https://www.youtube.com/watch?v=keMxEgwBxtE;2019-01-14T17:37:16Z;2019;1;12;17;Fitness
13;B20JSjVP80M;REPLAY: 2019 Honda NHL All-Star Game;NHL;https://www.youtube.com/watch?v=B20JSjVP80M;2019-01-27T21:24:37Z;2019;1;13;17;Hockey sobre hielo
14;U06IQTmh2Bg;TOP 25 GOALS Lionel Messi en LaLiga Santander;LaLiga Santander;https://www.youtube.com/watch?v=U06IQTmh2Bg;2019-01-13T20:32:04Z;2019;1;14;17;Fútbol
15;C-szjYgNi2g;"Scottie Pippen reveals Michael Jordan&#39;s most unguardable move | The Jump: OT";ESPN;https://www.youtube.com/watch?v=C-szjYgNi2g;2019-01-25T23:50:08Z;2019;1;15;17;Baloncesto
16;s6Jazu4oXls;"Yoga Morgenroutine für Anfänger | Den ganzen Körper Dehnen &amp; Mobilisieren | 10 Minuten";Mady Morrison;https://www.youtube.com/watch?v=s6Jazu4oXls;2019-02-17T07:00:04Z;2019;2;1;17;Yoga
17;ue1NT3QhuVU;Top 10 Dunks of The Decade;NBA;https://www.youtube.com/watch?v=ue1NT3QhuVU;2019-02-16T00:07:01Z;2019;2;2;17;Baloncesto
18;pWoj6Mlit2k;NIÑO DE 7 AÑOS ME RETA 1VS1 JUGANDO AL FÚTBOL ft. William Cvek;Delantero09;https://www.youtube.com/watch?v=pWoj6Mlit2k;2019-02-03T18:35:35Z;2019;2;3;17;Fútbol
19;OrH7JHHn_q4;TEAM LEBRON vs TEAM GIANNIS | 2019 NBA All-Star Game | February 17, 2019;NBA;https://www.youtube.com/watch?v=OrH7JHHn_q4;2019-02-18T04:10:35Z;2019;2;4;17;Baloncesto
20;cZ4kIVL0Cgo;Weirdest NBA Moments of 2018/2019 - Part 1;NBA Max;https://www.youtube.com/watch?v=cZ4kIVL0Cgo;2019-02-27T21:12:20Z;2019;2;5;17;Baloncesto
21;CVLh9oVZ1Sw;"Paulo Dybala ● Con Calma - Daddy Yankee ● Goals &amp; Skills | 2018/19 | HD";GoDZillaXx;https://www.youtube.com/watch?v=CVLh9oVZ1Sw;2019-03-01T16:53:56Z;2019;2;6;17;Fútbol
22;_hnl3Bw--eQ;"Best Of Stephen Curry&#39;s Career Dunks";NBA;https://www.youtube.com/watch?v=_hnl3Bw--eQ;2019-02-23T14:00:02Z;2019;2;7;17;Baloncesto
23;pvFiep6BOT4;"LIONEL MESSI JUGGLING CHALLENGE | testing Messi&#39;s skills";Unisport;https://www.youtube.com/watch?v=pvFiep6BOT4;2019-03-03T17:22:05Z;2019;2;8;17;Fútbol
24;QQkpHI9qv0A;Rutina HIIT para adelgazar 15 minutos en Casa - HIIT Quema Grasa;Myprotein España;https://www.youtube.com/watch?v=QQkpHI9qv0A;2019-02-24T18:30:00Z;2019;2;9;17;Fitness
25;3h6aR4OlVJk;300 Abdominales de pie | Ejercicios para abdomen fuerte;gymvirtual;https://www.youtube.com/watch?v=3h6aR4OlVJk;2019-02-04T17:13:41Z;2019;2;10;17;Fitness
26;OhdzCSooj2o;KARIM BENZEMA VS DELANTERO09 - Retos de Fútbol;Delantero09;https://www.youtube.com/watch?v=OhdzCSooj2o;2019-02-21T18:35:01Z;2019;2;11;17;Fútbol
27;a0QXPoVzxmM;11 Super Cheap MTB Upgrades;Berm Peak;https://www.youtube.com/watch?v=a0QXPoVzxmM;2019-02-21T17:55:55Z;2019;2;12;17;Ciclismo
28;kqnB76cQSd0;Check out the best of the 2019 WKC Masters Agility Championship | FOX SPORTS;FOX Sports;https://www.youtube.com/watch?v=kqnB76cQSd0;2019-02-11T00:41:45Z;2019;2;13;17;Agility para perros
29;hxMsVbFr1Bc;P!nk the border collie wins back-to-back titles at the 2019 WKC Masters Agility | FOX SPORTS;FOX Sports;https://www.youtube.com/watch?v=hxMsVbFr1Bc;2019-02-10T22:09:51Z;2019;2;14;17;Agility para perros
30;EC9VLIaub3Q;Rutina Cardio Todo el Cuerpo 30 minutos Quema Grasa Cardio Full Body para principiantes;Sientete Joven;https://www.youtube.com/watch?v=EC9VLIaub3Q;2019-02-03T18:45:00Z;2019;2;15;17;Fitness
31;5tUiCgt6hoU;Lionel Messi Destroying Sergio Ramos ● The Ultimate Video ► 2005-2019;Messi TheBoss;https://www.youtube.com/watch?v=5tUiCgt6hoU;2019-03-07T13:22:40Z;2019;3;1;17;Fútbol
32;a-ogSQBi5Eo;Crazy Reactions on Legendary Messi Goals | HD;Messi TheBoss;https://www.youtube.com/watch?v=a-ogSQBi5Eo;2019-03-22T18:28:28Z;2019;3;2;17;Fútbol
33;b9jAtxH903Q;Ronda Rousey vs. Sarah Logan - Beat the Clock Challenge Match: Raw, March 25, 2019;WWE;https://www.youtube.com/watch?v=b9jAtxH903Q;2019-03-26T00:57:16Z;2019;3;3;17;Lucha libre
34;bveTl0LKS2s;El Día Después (04/03/2019): Real Madrid vs FC Barcelona: algo más que fútbol;El Día Después por Movistar Plus+;https://www.youtube.com/watch?v=bveTl0LKS2s;2019-03-04T22:26:39Z;2019;3;4;17;Fútbol
35;kn5uevla61U;"Brazil vs Germany - FULL Match - Men&#39;s Football Final Rio 2016 | Throwback Thursday";Olympics;https://www.youtube.com/watch?v=kn5uevla61U;2019-03-21T12:00:08Z;2019;3;5;17;Fútbol
36;0sKN7yYC42g;The golf ball that made golfers too good;Vox;https://www.youtube.com/watch?v=0sKN7yYC42g;2019-03-15T12:00:12Z;2019;3;6;17;Golf
37;CVLh9oVZ1Sw;"Paulo Dybala ● Con Calma - Daddy Yankee ● Goals &amp; Skills | 2018/19 | HD";GoDZillaXx;https://www.youtube.com/watch?v=CVLh9oVZ1Sw;2019-03-01T16:53:56Z;2019;3;7;17;Fútbol
38;o86YFuGPTNA;Abdominales De Pie - 15 Minutos Para Reducir Cintura;Sientete Joven;https://www.youtube.com/watch?v=o86YFuGPTNA;2019-03-10T18:45:00Z;2019;3;8;17;Fitness
39;pvFiep6BOT4;"LIONEL MESSI JUGGLING CHALLENGE | testing Messi&#39;s skills";Unisport;https://www.youtube.com/watch?v=pvFiep6BOT4;2019-03-03T17:22:05Z;2019;3;9;17;Fútbol
40;NdD8gEGj0to;2019 Australian Grand Prix: Race Highlights;FORMULA 1;https://www.youtube.com/watch?v=NdD8gEGj0to;2019-03-17T08:54:46Z;2019;3;10;17;Automovilismo
41;gCwAWbJWbMA;Glúteos en 8 minutos | Glúteos grandes con ejercicios intensos en casa;gymvirtual;https://www.youtube.com/watch?v=gCwAWbJWbMA;2019-03-18T16:58:44Z;2019;3;11;17;Fitness
42;jwdAPlpKwSw;Rutina de estiramientos para crecer unos centímetros | Mejorar la postura de la espalda;gymvirtual;https://www.youtube.com/watch?v=jwdAPlpKwSw;2019-03-06T16:58:44Z;2019;3;12;17;Fitness
43;10xVoPIfYOU;Rutina de ejercicios para glúteos 10 minutos | Glúteos bonitos y grandes;gymvirtual;https://www.youtube.com/watch?v=10xVoPIfYOU;2019-03-11T16:58:17Z;2019;3;13;17;Fitness
44;FVKOfa0456Y;Edson Barboza Top 5 Finishes;UFC - Ultimate Fighting Championship;https://www.youtube.com/watch?v=FVKOfa0456Y;2019-03-28T00:05:42Z;2019;3;14;17;Artes marciales mixtas
45;h4m68r8kWAc;FC BARCELONA 6-1 PSG | Match highlights;FC Barcelona;https://www.youtube.com/watch?v=h4m68r8kWAc;2019-03-08T10:11:40Z;2019;3;15;17;Fútbol
46;lKYLeII8hMo;"7 SECOND CHALLENGE BARÇA-LIVERPOOL | Luis Suárez &amp; Coutinho";FC Barcelona;https://www.youtube.com/watch?v=lKYLeII8hMo;2019-04-30T09:10:28Z;2019;4;1;17;Fútbol
47;NvDmhLH32Ig;Tonificar brazos y eliminar grasa de las axilas | GymVirtual;gymvirtual;https://www.youtube.com/watch?v=NvDmhLH32Ig;2019-04-10T15:58:13Z;2019;4;2;17;Fitness
48;8eE9bofwhhs;2019 Azerbaijan Grand Prix​: Race Highlights;FORMULA 1;https://www.youtube.com/watch?v=8eE9bofwhhs;2019-04-28T15:28:33Z;2019;4;3;17;Automovilismo
49;u7hn69ybzxU;World Record Three Point Shooter vs. Kenny ‘The Jet’ Smith!;House of Highlights;https://www.youtube.com/watch?v=u7hn69ybzxU;2019-04-28T16:30:31Z;2019;4;4;17;Baloncesto
50;CSqpCvdc520;FC. Barcelona vs Real Madrid (2011/2012) | Partido Completo;Edu Sierra;https://www.youtube.com/watch?v=CSqpCvdc520;2019-04-13T21:38:25Z;2019;4;5;17;Fútbol
51;mZj5bpB4I5M;The Quarterfinal Reel | 2019 WDSF World Open Latin Pieve di Cento;DanceSportTotal;https://www.youtube.com/watch?v=mZj5bpB4I5M;2019-04-03T11:00:05Z;2019;4;6;17;Baile deportivo
52;#¿NOMBRE?;Top 10 Moments of Ayrton Senna Brilliance;FORMULA 1;https://www.youtube.com/watch?v=-pItzcHBHt0;2019-05-01T13:30:00Z;2019;4;7;17;Automovilismo
53;eOMqaQFFhk0;BAYERN 1-1p CHELSEA: #UCL 2012 FINAL FLASHBACK;UEFA;https://www.youtube.com/watch?v=eOMqaQFFhk0;2019-04-28T07:57:46Z;2019;4;8;17;Fútbol
54;j9ihJMqZGD0;"Messi&#39;s first official goal for FC Barcelona";FC Barcelona;https://www.youtube.com/watch?v=j9ihJMqZGD0;2019-05-01T08:10:41Z;2019;4;9;17;Fútbol
55;qzPENaw5GJw;"Kyrie Irving&#39;s Best Crossover vs Every NBA Team";NBA;https://www.youtube.com/watch?v=qzPENaw5GJw;2019-04-05T17:00:06Z;2019;4;10;17;Baloncesto
56;CfaNOidukHY;Best Plays of the 2019 NBA Playoffs | First Round;NBA;https://www.youtube.com/watch?v=CfaNOidukHY;2019-04-28T13:00:03Z;2019;4;11;17;Baloncesto
57;wo5lanHnhAo;Ronaldo Realizes He’s Getting Older | The Champions S2E1;Bleacher Report;https://www.youtube.com/watch?v=wo5lanHnhAo;2019-04-29T21:00:08Z;2019;4;12;17;Fútbol
58;O5UbKfH8PlY;"Kyrie Irving&#39;s Best Plays From the 2018-19 NBA Regular Season";NBA;https://www.youtube.com/watch?v=O5UbKfH8PlY;2019-04-12T16:00:06Z;2019;4;13;17;Baloncesto
