N;titulo;canal;País;Tipo;id;enlace;date;anyo;mes
1;Live webcam from Skarsvåg, North Cape in Norway;Skarsvåg bygdelag live cam;Noruega;Viaje;c4kpeZHcke8;https://www.youtube.com/watch?v=c4kpeZHcke8;2019-01-14T16:52:33Z;2019;1
2;"Madagascar : pistes, saphirs et bois précieux  -  Les routes de l&#39;impossible";Les Routes de l'impossible;Madagascar;Viaje;iVu8O_dY0pk;https://www.youtube.com/watch?v=iVu8O_dY0pk;2019-01-18T17:20:43Z;2019;1
3;Ultimate TOKYO RAMEN Tour! RAMEN EXPERT Reveals the Best Noodle Spots in Town!;Best Ever Food Review Show;Japón;Comida;gn8JAm8Gq40;https://www.youtube.com/watch?v=gn8JAm8Gq40;2019-01-06T12:20:54Z;2019;1
4;BOTSWANA TRAVEL DOCUMENTARY  -  4x4 Safari Road Trip feat. Victoria Falls;Lucas T. Jahn;Botswana;Viaje;HXSHzfrc5ZY;https://www.youtube.com/watch?v=HXSHzfrc5ZY;2019-01-26T20:25:30Z;2019;1
5;Kochi, Fort kochi Episode  1 Kerala Tourism  -  Things to do in Kochi;visa2explore;India;Viaje;i1U6N_qwwqE;https://www.youtube.com/watch?v=i1U6N_qwwqE;2019-01-06T03:30:01Z;2019;1
6;🔴 Bagni Miki - Chioggia Sottomarina (Venezia) - Live Full HD;I Love You Venice;Italia;Viaje;hMqdGiuzlP0;https://www.youtube.com/watch?v=hMqdGiuzlP0;2019-01-31T10:45:31Z;2019;1
7;🔴 Venezia Italia Live Webcam - Campo Santa Maria Formosa Venice - Stream from Ruzzini Palace Hotel;I Love You Venice;Italia;Viaje;WjOGhNDX51M;https://www.youtube.com/watch?v=WjOGhNDX51M;2019-01-04T10:27:00Z;2019;1
8;Una semana de magia  -  Walt Disney World;ParquesDisney;Estados Unidos;Evento;Y1dk-l4dxaw;https://www.youtube.com/watch?v=Y1dk-l4dxaw;2019-01-11T17:00:17Z;2019;1
9;Wanderlust Greece  -  72 Hours in Thessaloniki;DiscoverGreece.com;Grecia;Viaje;W4o4QZNsxm8;https://www.youtube.com/watch?v=W4o4QZNsxm8;2019-01-14T15:30:45Z;2019;1
10;Continental Divide Trail Documentary: CHOOSE YOUR ADVENTURE;Homemade Wanderlust;Estados Unidos;Viaje;1ewQvcGhQAA;https://www.youtube.com/watch?v=1ewQvcGhQAA;2019-01-03T00:58:11Z;2019;1
11;Cessna 152 Flight Training (startup, takeoff, landing, traffic pattern);Brady Skye;Estados Unidos;Viaje;wyc_MCn-lsU;https://www.youtube.com/watch?v=wyc_MCn-lsU;2019-01-26T03:24:54Z;2019;1
12;Fairbanks, Alaska’s Northern Lights;Visit The USA;Estados Unidos;Viaje;AoBCWO5JpfQ;https://www.youtube.com/watch?v=AoBCWO5JpfQ;2019-01-25T14:50:58Z;2019;1
13;"Visit New Orleans - The Don&#39;ts of Visiting New Orleans";Wolters World;Estados Unidos;Viaje;OwsyTmNB-aQ;https://www.youtube.com/watch?v=OwsyTmNB-aQ;2019-01-12T16:21:52Z;2019;1
14;Kochi to Munnar Episode 2  -  Sadhya in Kerala, Spice Garden tour  -  Kerala Tourism;visa2explore;India;Viaje;bXcpT2fAVn0;https://www.youtube.com/watch?v=bXcpT2fAVn0;2019-01-09T14:30:01Z;2019;1
15;The Landing Beach Bar @ Cane Bay in St. Croix USVI;VisitStCroix.com;Islas Vírgenes de los Estados Unidos;Viaje;bm_-L6felME;https://www.youtube.com/watch?v=bm_-L6felME;2019-01-29T02:36:25Z;2019;1
16;Madagascar Street Food!!! Super RARE Malagasy Village Food!;Best Ever Food Review Show;Madagascar;Comida;EwBA1fOQ96c;https://www.youtube.com/watch?v=EwBA1fOQ96c;2019-02-27T13:36:47Z;2019;2
17;42 Cheesy Foods You Need To Eat In Your Lifetime  -  The Ultimate List;Insider Food;Varios países;Comida;XwHurP9RH-s;https://www.youtube.com/watch?v=XwHurP9RH-s;2019-02-26T21:28:07Z;2019;2
18;What Street Foods Look Like Around The World;Insider Food;Varios países;Comida;lZGnEC8y158;https://www.youtube.com/watch?v=lZGnEC8y158;2019-02-08T17:00:05Z;2019;2
19;"Live NYC Brooklyn Bridge &amp; Manhattan cam";St. George Tower;Estados Unidos;Viaje;KGuCGd726RA;https://www.youtube.com/watch?v=KGuCGd726RA;2019-02-01T12:55:39Z;2019;2
20;Top 7 Hidden Secrets at Disneyland - Pt 2 - Disney Secrets;TPMvids;Estados Unidos;Viaje;xj4fHQ_LMuc;https://www.youtube.com/watch?v=xj4fHQ_LMuc;2019-02-10T19:30:43Z;2019;2
21;Why Peter Luger Is The Most Legendary Steakhouse In NYC  -  Legendary Eats;Insider Food;Estados Unidos;Comida;pNnM-QJCY4I;https://www.youtube.com/watch?v=pNnM-QJCY4I;2019-02-01T17:00:07Z;2019;2
22;Electricity Explained: Volts, Amps, Watts, Fuse Sizing, Wire Gauge, AC/DC, Solar Power and more!;DIY Solar Power with Will Prowse;Varios países;Evento;cX4s-bxn4fs;https://www.youtube.com/watch?v=cX4s-bxn4fs;2019-02-01T00:19:49Z;2019;2
23;"The ONLY Travel Guide You&#39;ll Need to Bali, Indonesia";Int Affair;Indonesia;Viaje;ldIrLjcF7-c;https://www.youtube.com/watch?v=ldIrLjcF7-c;2019-03-03T15:29:26Z;2019;2
24;🔴 Venice Live Cam - San Marco Basin in Live Streaming - Webcam en direct ベネチア ライブ;I Love You Venice;Italia;Viaje;rVyP35EHCzY;https://www.youtube.com/watch?v=rVyP35EHCzY;2019-02-01T10:22:42Z;2019;2
25;"Top 10 Fastest Rides &amp; Roller Coasters at Knott&#39;s Berry Farm";TPMvids;Estados Unidos;Viaje;ozSj8F_LY2Y;https://www.youtube.com/watch?v=ozSj8F_LY2Y;2019-02-24T19:35:36Z;2019;2
26;#MissionRescue with Turkish Cargo - Turkish Airlines;Turkish Airlines;Varios países;Evento;GWqD79BGOIw;https://www.youtube.com/watch?v=GWqD79BGOIw;2019-03-03T09:10:51Z;2019;2
27;Shinichi Sakamoto, manga creation in the digital era;Archipel;Japón;Evento;TDpn9fdsRbY;https://www.youtube.com/watch?v=TDpn9fdsRbY;2019-02-01T13:01:15Z;2019;2
28;Yellowstone National Park Vacation Travel Guide  -  Expedia;Expedia;Estados Unidos;Viaje;bme0rs75Z3E;https://www.youtube.com/watch?v=bme0rs75Z3E;2019-02-07T17:30:00Z;2019;2
29;Ausgerechnet Wohnmobil  -  ARD Reisen;ARD Reisen;Alemania;Viaje;xds5oYdfogo;https://www.youtube.com/watch?v=xds5oYdfogo;2019-03-03T08:00:04Z;2019;2
30;Do the math and then do Barcelona for less with the WestJet RBC® World Elite Mastercard‡.*;WestJet;España;Viaje;I3asjPW-akQ;https://www.youtube.com/watch?v=I3asjPW-akQ;2019-02-22T21:37:23Z;2019;2
