-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/05/2013 through 04/05/2014 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
36.25,-6.75,2013,4,5,16.48,13.88,15.14,8.25,77.3,4.45,7.91,9.86,3.28
36.25,-6.25,2013,4,5,16.25,12.88,14.78,8.3,79.12,6.17,7.1,8.96,3.59
36.25,-5.75,2013,4,5,16.34,10.36,14.04,8.15,81.05,8.8,5.65,8.27,2.76
36.25,-5.25,2013,4,5,16.4,10.68,14.07,8.19,81.08,9.89,5.2,8.23,2.32
36.25,-4.75,2013,4,5,16.34,11.97,14.34,8.34,81.19,10.71,5.24,8.82,1.83
36.25,-4.25,2013,4,5,16.13,13.0,14.48,8.48,82.05,11.66,5.5,9.59,1.43
36.25,-3.75,2013,4,5,15.85,13.15,14.26,8.48,83.0,12.32,5.86,9.68,1.94
36.25,-3.25,2013,4,5,15.91,13.1,14.34,8.41,82.1,9.08,6.28,9.84,3.24
36.25,-2.75,2013,4,5,15.87,13.41,14.52,8.47,81.97,7.64,6.61,9.53,4.39
36.25,-2.25,2013,4,5,15.78,13.82,14.71,8.6,82.59,7.28,6.82,9.18,5.13
36.75,-6.75,2013,4,5,16.6,12.13,14.4,7.79,76.82,2.97,6.86,9.24,1.43
36.75,-6.25,2013,4,5,16.84,9.81,13.73,7.69,78.97,5.28,5.63,7.83,1.78
36.75,-5.75,2013,4,5,16.54,7.1,12.57,7.45,81.22,6.97,4.55,7.29,1.59
36.75,-5.25,2013,4,5,15.99,6.78,12.16,7.37,81.46,7.83,4.26,7.31,1.49
