n;id;titulo;canal;enlace;fecha;anyo;mes;tipo
1;c4kpeZHcke8;Live webcam from Skarsvåg, North Cape in Norway;Skarsvåg bygdelag live cam;https://www.youtube.com/watch?v=c4kpeZHcke8;2019-01-14T16:52:33Z;2019;1;Viaje
2;iVu8O_dY0pk;"Madagascar : pistes, saphirs et bois précieux  -  Les routes de l&#39;impossible";Les Routes de l'impossible;https://www.youtube.com/watch?v=iVu8O_dY0pk;2019-01-18T17:20:43Z;2019;1;Viaje
3;gn8JAm8Gq40;Ultimate TOKYO RAMEN Tour! RAMEN EXPERT Reveals the Best Noodle Spots in Town!;Best Ever Food Review Show;https://www.youtube.com/watch?v=gn8JAm8Gq40;2019-01-06T12:20:54Z;2019;1;Comida
4;HXSHzfrc5ZY;BOTSWANA TRAVEL DOCUMENTARY  -  4x4 Safari Road Trip feat. Victoria Falls;Lucas T. Jahn;https://www.youtube.com/watch?v=HXSHzfrc5ZY;2019-01-26T20:25:30Z;2019;1;Viaje
5;i1U6N_qwwqE;Kochi, Fort kochi Episode  1 Kerala Tourism  -  Things to do in Kochi;visa2explore;https://www.youtube.com/watch?v=i1U6N_qwwqE;2019-01-06T03:30:01Z;2019;1;Viaje
6;hMqdGiuzlP0;🔴 Bagni Miki - Chioggia Sottomarina (Venezia) - Live Full HD;I Love You Venice;https://www.youtube.com/watch?v=hMqdGiuzlP0;2019-01-31T10:45:31Z;2019;1;Viaje
7;WjOGhNDX51M;🔴 Venezia Italia Live Webcam - Campo Santa Maria Formosa Venice - Stream from Ruzzini Palace Hotel;I Love You Venice;https://www.youtube.com/watch?v=WjOGhNDX51M;2019-01-04T10:27:00Z;2019;1;Viaje
8;Y1dk-l4dxaw;Una semana de magia  -  Walt Disney World;ParquesDisney;https://www.youtube.com/watch?v=Y1dk-l4dxaw;2019-01-11T17:00:17Z;2019;1;Evento
9;W4o4QZNsxm8;Wanderlust Greece  -  72 Hours in Thessaloniki;DiscoverGreece.com;https://www.youtube.com/watch?v=W4o4QZNsxm8;2019-01-14T15:30:45Z;2019;1;Viaje
10;1ewQvcGhQAA;Continental Divide Trail Documentary: CHOOSE YOUR ADVENTURE;Homemade Wanderlust;https://www.youtube.com/watch?v=1ewQvcGhQAA;2019-01-03T00:58:11Z;2019;1;Viaje
11;wyc_MCn-lsU;Cessna 152 Flight Training (startup, takeoff, landing, traffic pattern);Brady Skye;https://www.youtube.com/watch?v=wyc_MCn-lsU;2019-01-26T03:24:54Z;2019;1;Viaje
